CC_Assembly walk debug — 2026-06-28T14:17:54.589270
Project: 02 Wipha-L
Total occurrences visited: 194
CAM-ALPF tagged components: 0

--- CAM API exploration ---
ENABLE_CAM_PROBE=False — skipped (set True at top of CC_Assembly.py to re-enable)

depth | SM | CAM | material         | display_name (component)
------------------------------------------------------------------------------------------
    0 |     |     |                  | Fitting:1 (Fitting)
    1 |     |     | Plastic Generic  | Elec - Outlet  #W Series by Panasonic v40:1 (Elec - Outlet  #W Series by Panasonic v40)
    0 |     |     |                  | 1LLV04-100SHD v3:1 (1LLV04-100SHD v3)
    1 |     |     |                  | SD00NA-080000 v27:1 (SD00NA-080000 v27)
    2 |     |     | ALPF             | SD00NA-080000 v32:1 (SD00NA-080000 v32)
    2 |     |     | ALPF             | SD0SUP-000000 v7:1 (SD0SUP-000000 v7)
    2 |     |     | ALPF             | SD0SUP-000000 v7:2 (SD0SUP-000000 v7)
    2 |     |     | ALPF             | SD00NA-080000 v32:2 (SD00NA-080000 v32)
    2 |     |     | ALPF             | SD0SUP-000000 v7:3 (SD0SUP-000000 v7)
    2 |     |     | ALPF             | SD0SUP-000000 v7:4 (SD0SUP-000000 v7)
    1 |     |     |                  | BK0DN0-100000 v13:1 (BK0DN0-100000 v13)
    2 | SM  |     | ALPF             | BK1DN1-100000 v31:1 (BK1DN1-100000 v31)
    2 |     |     |                  | BK2TR1-100000 v10:1 (BK2TR1-100000 v10)
    3 | SM  |     | ALPF             | BXXTR0-000000:1 (BXXTR0-000000)
    3 | SM  |     | ALPF             | BXXTR0-000000:2 (BXXTR0-000000)
    3 | SM  |     | ALPF             | BXXTR0-000000:3 (BXXTR0-000000)
    3 | SM  |     | ALPF             | BXXTR0-000000:4 (BXXTR0-000000)
    1 |     |     |                  | TS004H-100000 v10:1 (TS004H-100000 v10)
    2 |     |     |                  | TS2TR4-100000 v9:1 (TS2TR4-100000 v9)
    3 | SM  |     | ALPF             | TS2TRX-000000:1 (TS2TRX-000000)
    3 | SM  |     | ALPF             | TS2TRX-000000:2 (TS2TRX-000000)
    3 | SM  |     | ALPF             | TS2TRX-000000:3 (TS2TRX-000000)
    3 | SM  |     | ALPF             | TS2TRX-000000:4 (TS2TRX-000000)
    2 | SM  |     | ALPF             | TS1BHH-100000 v11:1 (TS1BHH-100000 v11)
    2 | SM  |     | ALPF             | TS1BHH-100000 v11:2 (TS1BHH-100000 v11)
    2 | SM  |     | ALPF             | TS1BHH-100000 v11:3 (TS1BHH-100000 v11)
    2 | SM  |     | ALPF             | TS1BHH-100000 v11:4 (TS1BHH-100000 v11)
    1 |     |     |                  | FN0FL3-100008 v3:1 (FN0FL3-100008 v3)
    2 | SM  |     | ALPF             | FN0F00-100000 v17:1 (FN0F00-100000 v17)
    2 |     |     |                  | FN2BLA-100000 v10:3 (FN2BLA-100000 v10)
    3 | SM  |     | ALPF             | FN2BLA-040000:1 (FN2BLA-040000)
    2 |     |     |                  | FN2BNX-100000 v14:1 (FN2BNX-100000 v14)
    3 | SM  |     | ALPF             | FN2BN0-000000:1 (FN2BN0-000000)
    2 |     |     |                  | FN2BNX-100000 v14:2 (FN2BNX-100000 v14)
    3 | SM  |     | ALPF             | FN2BN0-000000:1 (FN2BN0-000000)
    2 |     |     |                  | Legs:1 (Legs)
    3 |     |     |                  | Leg-060 v3:1 (Leg-060 v3)
    4 |     |     |                  | Leg - 080 mm. by YH:1 (Leg - 080 mm. by YH)
    4 |     |     | Acetal Resin, Bl | กลาง:1 (กลาง)
    4 |     |     | Acetal Resin, Bl | ฐานล้าง:1 (ฐานล้าง)
    3 |     |     |                  | Leg-060 v3:2 (Leg-060 v3)
    4 |     |     |                  | Leg - 080 mm. by YH:1 (Leg - 080 mm. by YH)
    4 |     |     | Acetal Resin, Bl | กลาง:1 (กลาง)
