CC_Assembly walk debug — 2026-06-13T15:14:10.434198
Project: 1CSVBL-120000
Total occurrences visited: 81
CAM-ALPF tagged components: 0

--- CAM API exploration ---
ENABLE_CAM_PROBE=False — skipped (set True at top of CC_Assembly.py to re-enable)

depth | SM | CAM | material         | display_name (component)
------------------------------------------------------------------------------------------
    0 | SM  |     | ALPF             | SD0CN0-080083 v14:1 (SD0CN0-080083 v14)
    0 | SM  |     | ALPF             | BM1LCL-120000 v7:1 (BM1LCL-120000 v7)
    0 | SM  |     | ALPF             | CLL000-000083 v15:1 (CLL000-000083 v15)
    0 |     |     |                  | DSV0R4-060080 v14:1 (DSV0R4-060080 v14)
    1 | SM  |     | ALPF             | DSV2R4-060080 v6:1 (DSV2R4-060080 v6)
    1 | SM  |     | ALPF             | DSV100-060080 v6:1 (DSV100-060080 v6)
    0 |     |     | Steel            | 080W-Insert 4 Hinges v3:1 (080W-Insert 4 Hinges v3)
    1 |     |     | Steel            | Cup:1 (Cup)
    1 |     |     | Steel            | Component14:1 (Component14)
    1 |     |     | Steel            | Component15:1 (Component15)
    1 |     |     | Steel            | DRW:1 (DRW)
    0 |     |     | Steel            | Sink - Franke FEX 210-50 v1:1 (Sink - Franke FEX 210-50 v1)
    0 |     |     |                  | TSSK2H-120002 v10:1 (TSSK2H-120002 v10)
    1 | SM  |     | ALPF             | TS1BHH-082002 v1:1 (TS1BHH-082002 v1)
    1 | SM  |     | ALPF             | TS1BHH-082092 v1:1 (TS1BHH-082092 v1)
    1 | SM  |     | ALPF             | TS0BVH-0000UN v6:1 (TS0BVH-0000UN v6)
    1 | SM  |     | ALPF             | TS0BVH-0000UN v6:2 (TS0BVH-0000UN v6)
    1 | SM  |     | ALPF             | TS0BV0-053400 v8:1 (TS0BV0-053400 v8)
    1 |     |     |                  | TS0TR0-000000:1 (TS0TR0-000000)
    2 | SM  |     | ALPF             | TS1TR0-000000 v1:1 (TS1TR0-000000 v1)
    2 | SM  |     | ALPF             | TS1TR0-000000 v1:2 (TS1TR0-000000 v1)
    2 | SM  |     | ALPF             | TS1TR0-000000 v1:3 (TS1TR0-000000 v1)
    2 | SM  |     | ALPF             | TS1TR0-000000 v1:4 (TS1TR0-000000 v1)
    2 | SM  |     | ALPF             | TS1TR0-000000 v1:5 (TS1TR0-000000 v1)
    2 | SM  |     | ALPF             | TS1TR0-000000 v1:6 (TS1TR0-000000 v1)
    1 | SM  |     | ALPF             | TS1BHH-036202 v1:1 (TS1BHH-036202 v1)
    1 | SM  |     | ALPF             | TS1BHH-036202 v3:1 (TS1BHH-036202 v3)
    1 | SM  |     | ALPF             | TS1BHH-036202 v3:2 (TS1BHH-036202 v3)
    1 | SM  |     | ALPF             | TS1BHH-120092 v7:1 (TS1BHH-120092 v7)
    0 |     |     | ALPF             | SD0CN2-080000 v7:1 (SD0CN2-080000 v7)
    0 |     |     | ALPF             | SDRCN2-080000 v4:1 (SDRCN2-080000 v4)
    0 |     |     |                  | FCLL0C-120007 v2:1 (FCLL0C-120007 v2)
    1 |     |     |                  | Fitting:1 (Fitting)
    2 |     |     |                  | Leg-060 v3:1 (Leg-060 v3)
    3 |     |     |                  | Leg - 080 mm. by YH:1 (Leg - 080 mm. by YH)
    3 |     |     | Acetal Resin, Bl | กลาง:1 (กลาง)
    3 |     |     | Acetal Resin, Bl | ฐานล้าง:1 (ฐานล้าง)
    2 |     |     |                  | Leg-060 v3:2 (Leg-060 v3)
    3 |     |     |                  | Leg - 080 mm. by YH:1 (Leg - 080 mm. by YH)
    3 |     |     | Acetal Resin, Bl | กลาง:1 (กลาง)
    3 |     |     | Acetal Resin, Bl | ฐานล้าง:1 (ฐานล้าง)
    2 |     |     |                  | Leg-060 v3:3 (Leg-060 v3)
    3 |     |     |                  | Leg - 080 mm. by YH:1 (Leg - 080 mm. by YH)
    3 |     |     | Acetal Resin, Bl | กลาง:1 (กลาง)
    3 |     |     | Acetal Resin, Bl | ฐานล้าง:1 (ฐานล้าง)
    2 |     |     |                  | Leg-060 v3:4 (Leg-060 v3)
    3 |     |     |                  | Leg - 080 mm. by YH:1 (Leg - 080 mm. by YH)
    3 |     |     | Acetal Resin, Bl | กลาง:1 (กลาง)
    3 |     |     | Acetal Resin, Bl | ฐานล้าง:1 (ฐานล้าง)
    2 |     |     |                  | Leg-060 v3:6 (Leg-060 v3)
    3 |     |     |                  | Leg - 080 mm. by YH:1 (Leg - 080 mm. by YH)
    3 |     |     | Acetal Resin, Bl | กลาง:1 (กลาง)
    3 |     |     | Acetal Resin, Bl | ฐานล้าง:1 (ฐานล้าง)
    2 |     |     |                  | Leg-060 v3:7 (Leg-060 v3)
    3 |     |     |                  | Leg - 080 mm. by YH:1 (Leg - 080 mm. by YH)
    3 |     |     | Acetal Resin, Bl | กลาง:1 (กลาง)
    3 |     |     | Acetal Resin, Bl | ฐานล้าง:1 (ฐานล้าง)
    2 |     |     |                  | Leg-060 v3:8 (Leg-060 v3)
    3 |     |     |                  | Leg - 080 mm. by YH:1 (Leg - 080 mm. by YH)
    3 |     |     | Acetal Resin, Bl | กลาง:1 (กลาง)
    3 |     |     | Acetal Resin, Bl | ฐานล้าง:1 (ฐานล้าง)
    2 |     |     |                  | Leg-060 v3:9 (Leg-060 v3)
    3 |     |     |                  | Leg - 080 mm. by YH:1 (Leg - 080 mm. by YH)
    3 |     |     | Acetal Resin, Bl | กลาง:1 (กลาง)
    3 |     |     | Acetal Resin, Bl | ฐานล้าง:1 (ฐานล้าง)
    1 |     |     | ALPF             | FN3BLA-060000 v10:1 (FN3BLA-060000 v10)
    1 |     |     |                  | FN2BLA-120000 v19:3 (FN2BLA-120000 v19)
    2 | SM  |     | ALPF             | FN2BLA-040000:1 (FN2BLA-040000)
    1 |     |     |                  | FN2BNX-120000 v20:1 (FN2BNX-120000 v20)
