CC_Assembly walk debug — 2026-07-01T06:37:37.284454
Project: 1LLV04-120SHD
Total occurrences visited: 97
CAM-ALPF tagged components: 0

--- CAM API exploration ---
ENABLE_CAM_PROBE=False — skipped (set True at top of CC_Assembly.py to re-enable)

depth | SM | CAM | material         | display_name (component)
------------------------------------------------------------------------------------------
    0 |     |     |                  | SD00NA-080000 v27:1 (SD00NA-080000 v27)
    1 |     |     | ALPF             | SD00NA-080000 v32:1 (SD00NA-080000 v32)
    1 |     |     | ALPF             | SD0SUP-000000 v7:1 (SD0SUP-000000 v7)
    1 |     |     | ALPF             | SD0SUP-000000 v7:2 (SD0SUP-000000 v7)
    1 |     |     | ALPF             | SD00NA-080000 v32:2 (SD00NA-080000 v32)
    1 |     |     | ALPF             | SD0SUP-000000 v7:3 (SD0SUP-000000 v7)
    1 |     |     | ALPF             | SD0SUP-000000 v7:4 (SD0SUP-000000 v7)
    0 |     |     |                  | FN0FL3-100008 v4:1 (FN0FL3-100008 v4)
    1 | SM  |     | ALPF             | FN0F00-100000 v17:1 (FN0F00-100000 v17)
    1 |     |     |                  | FN2BLA-100000 v10:3 (FN2BLA-100000 v10)
    2 | SM  |     | ALPF             | FN2BLA-040000:1 (FN2BLA-040000)
    1 |     |     |                  | FN2BNX-100000 v14:1 (FN2BNX-100000 v14)
    2 | SM  |     | ALPF             | FN2BN0-000000:1 (FN2BN0-000000)
    1 |     |     |                  | FN2BNX-100000 v14:2 (FN2BNX-100000 v14)
    2 | SM  |     | ALPF             | FN2BN0-000000:1 (FN2BN0-000000)
    1 |     |     |                  | Legs:1 (Legs)
    2 |     |     |                  | Leg-060 v4:1 (Leg-060 v4)
    3 |     |     |                  | Leg - 080 mm. by YH:1 (Leg - 080 mm. by YH)
    3 |     |     | Acetal Resin, Bl | กลาง:1 (กลาง)
    3 |     |     | Acetal Resin, Bl | ฐานล้าง:1 (ฐานล้าง)
    2 |     |     |                  | Leg-060 v4:2 (Leg-060 v4)
    3 |     |     |                  | Leg - 080 mm. by YH:1 (Leg - 080 mm. by YH)
    3 |     |     | Acetal Resin, Bl | กลาง:1 (กลาง)
    3 |     |     | Acetal Resin, Bl | ฐานล้าง:1 (ฐานล้าง)
    2 |     |     |                  | Leg-060 v4:3 (Leg-060 v4)
    3 |     |     |                  | Leg - 080 mm. by YH:1 (Leg - 080 mm. by YH)
    3 |     |     | Acetal Resin, Bl | กลาง:1 (กลาง)
    3 |     |     | Acetal Resin, Bl | ฐานล้าง:1 (ฐานล้าง)
    2 |     |     |                  | Leg-060 v4:4 (Leg-060 v4)
    3 |     |     |                  | Leg - 080 mm. by YH:1 (Leg - 080 mm. by YH)
    3 |     |     | Acetal Resin, Bl | กลาง:1 (กลาง)
    3 |     |     | Acetal Resin, Bl | ฐานล้าง:1 (ฐานล้าง)
    2 |     |     |                  | Leg-060 v4:5 (Leg-060 v4)
    3 |     |     |                  | Leg - 080 mm. by YH:1 (Leg - 080 mm. by YH)
    3 |     |     | Acetal Resin, Bl | กลาง:1 (กลาง)
    3 |     |     | Acetal Resin, Bl | ฐานล้าง:1 (ฐานล้าง)
    2 |     |     |                  | Leg-060 v4:6 (Leg-060 v4)
    3 |     |     |                  | Leg - 080 mm. by YH:1 (Leg - 080 mm. by YH)
    3 |     |     | Acetal Resin, Bl | กลาง:1 (กลาง)
    3 |     |     | Acetal Resin, Bl | ฐานล้าง:1 (ฐานล้าง)
    2 |     |     |                  | Leg-060 v4:7 (Leg-060 v4)
    3 |     |     |                  | Leg - 080 mm. by YH:1 (Leg - 080 mm. by YH)
    3 |     |     | Acetal Resin, Bl | กลาง:1 (กลาง)
    3 |     |     | Acetal Resin, Bl | ฐานล้าง:1 (ฐานล้าง)
    2 |     |     |                  | Leg-060 v4:8 (Leg-060 v4)
    3 |     |     |                  | Leg - 080 mm. by YH:1 (Leg - 080 mm. by YH)
    3 |     |     | Acetal Resin, Bl | กลาง:1 (กลาง)
    3 |     |     | Acetal Resin, Bl | ฐานล้าง:1 (ฐานล้าง)
    1 |     |     | ALPF             | FN3BLA-100000 v10:1 (FN3BLA-100000 v10)
    0 |     |     |                  | TS004H-100000 v10:1 (TS004H-100000 v10)
    1 |     |     |                  | TS2TR4-100000 v9:1 (TS2TR4-100000 v9)
    2 | SM  |     | ALPF             | TS2TRX-000000:1 (TS2TRX-000000)
    2 | SM  |     | ALPF             | TS2TRX-000000:2 (TS2TRX-000000)
    2 | SM  |     | ALPF             | TS2TRX-000000:3 (TS2TRX-000000)
    2 | SM  |     | ALPF             | TS2TRX-000000:4 (TS2TRX-000000)
    1 | SM  |     | ALPF             | TS1BHH-100000 v11:1 (TS1BHH-100000 v11)
    1 | SM  |     | ALPF             | TS1BHH-100000 v11:2 (TS1BHH-100000 v11)
    1 | SM  |     | ALPF             | TS1BHH-100000 v11:3 (TS1BHH-100000 v11)
    1 | SM  |     | ALPF             | TS1BHH-100000 v11:4 (TS1BHH-100000 v11)
    0 |     |     |                  | BK0DN0-120000 v13:1 (BK0DN0-120000 v13)
    1 | SM  |     | ALPF             | BK1DN1-120000 v31:1 (BK1DN1-120000 v31)
    1 |     |     |                  | BK2TR1-120000 v4:1 (BK2TR1-120000 v4)
    2 | SM  |     | ALPF             | BXXTR0-000000:1 (BXXTR0-000000)
    2 | SM  |     | ALPF             | BXXTR0-000000:2 (BXXTR0-000000)
    2 | SM  |     | ALPF             | BXXTR0-000000:3 (BXXTR0-000000)
